ID,Page_name,Response_time,StartTime,EndTime
7600,02_Watchlist,1.086,25-11-2022 10:00,25-11-2022 10:00
7601,03_Logout,2.251,25-11-2022 10:01,25-11-2022 10:01
7602,01_Login,1.119,25-11-2022 10:05,25-11-2022 10:05
7603,02_Watchlist,1.138,25-11-2022 10:05,25-11-2022 10:05
7604,03_Logout,2.619,25-11-2022 10:06,25-11-2022 10:06
7605,01_Login,0.591,25-11-2022 10:10,25-11-2022 10:10
7606,02_Watchlist,0.722,25-11-2022 10:10,25-11-2022 10:10
7607,03_Logout,2.29,25-11-2022 10:11,25-11-2022 10:11
7608,01_Login,0.919,25-11-2022 10:15,25-11-2022 10:15
7609,02_Watchlist,0.699,25-11-2022 10:15,25-11-2022 10:15
7610,03_Logout,2.258,25-11-2022 10:16,25-11-2022 10:16
7611,01_Login,1.19,25-11-2022 10:20,25-11-2022 10:20
7612,02_Watchlist,0.715,25-11-2022 10:20,25-11-2022 10:20
7613,03_Logout,2.255,25-11-2022 10:21,25-11-2022 10:21
7614,01_Login,0.233,25-11-2022 10:25,25-11-2022 10:25
7615,02_Watchlist,1.084,25-11-2022 10:25,25-11-2022 10:25
7616,03_Logout,2.188,25-11-2022 10:26,25-11-2022 10:26
7617,01_Login,2.607,25-11-2022 10:30,25-11-2022 10:30
7618,02_Watchlist,1.623,25-11-2022 10:30,25-11-2022 10:30
7619,03_Logout,2.224,25-11-2022 10:31,25-11-2022 10:31
7620,01_Login,0.722,25-11-2022 10:35,25-11-2022 10:35
7621,02_Watchlist,0.731,25-11-2022 10:35,25-11-2022 10:35
7622,03_Logout,2.604,25-11-2022 10:36,25-11-2022 10:36
7623,01_Login,0.356,25-11-2022 10:40,25-11-2022 10:40
7624,02_Watchlist,1.178,25-11-2022 10:40,25-11-2022 10:40
7625,03_Logout,2.185,25-11-2022 10:41,25-11-2022 10:41
7626,01_Login,1.68,25-11-2022 10:45,25-11-2022 10:45
7627,02_Watchlist,0.706,25-11-2022 10:45,25-11-2022 10:45
7628,03_Logout,2.755,25-11-2022 10:46,25-11-2022 10:46
7629,01_Login,1.026,25-11-2022 10:50,25-11-2022 10:50
7630,02_Watchlist,0.712,25-11-2022 10:50,25-11-2022 10:50
7631,03_Logout,2.238,25-11-2022 10:51,25-11-2022 10:51
7632,01_Login,0.559,25-11-2022 10:55,25-11-2022 10:55
7633,02_Watchlist,0.736,25-11-2022 10:55,25-11-2022 10:55
7634,03_Logout,2.184,25-11-2022 10:56,25-11-2022 10:56
7635,01_Login,0.922,25-11-2022 11:00,25-11-2022 11:00
7636,02_Watchlist,0.722,25-11-2022 11:00,25-11-2022 11:00
7637,03_Logout,2.181,25-11-2022 11:01,25-11-2022 11:01
7638,01_Login,0.666,25-11-2022 11:05,25-11-2022 11:05
7639,02_Watchlist,0.708,25-11-2022 11:05,25-11-2022 11:05
7640,03_Logout,2.224,25-11-2022 11:06,25-11-2022 11:06
7641,01_Login,0.49,25-11-2022 11:10,25-11-2022 11:10
7642,02_Watchlist,1.117,25-11-2022 11:10,25-11-2022 11:10
7643,03_Logout,2.261,25-11-2022 11:11,25-11-2022 11:11
7644,01_Login,0.507,25-11-2022 11:15,25-11-2022 11:15
7645,02_Watchlist,0.75,25-11-2022 11:15,25-11-2022 11:15
7646,03_Logout,2.203,25-11-2022 11:16,25-11-2022 11:16
7647,01_Login,0.557,25-11-2022 11:20,25-11-2022 11:20
7648,02_Watchlist,0.729,25-11-2022 11:20,25-11-2022 11:20
7649,03_Logout,2.166,25-11-2022 11:21,25-11-2022 11:21
7650,01_Login,1.524,25-11-2022 11:25,25-11-2022 11:25
7651,02_Watchlist,0.821,25-11-2022 11:25,25-11-2022 11:25
7652,03_Logout,2.633,25-11-2022 11:26,25-11-2022 11:26
7653,01_Login,1.308,25-11-2022 11:30,25-11-2022 11:30
7654,02_Watchlist,0.73,25-11-2022 11:30,25-11-2022 11:30
7655,03_Logout,2.343,25-11-2022 11:31,25-11-2022 11:31
7656,01_Login,1.039,25-11-2022 11:35,25-11-2022 11:35
7657,02_Watchlist,0.712,25-11-2022 11:35,25-11-2022 11:35
7658,03_Logout,2.17,25-11-2022 11:36,25-11-2022 11:36
7659,01_Login,0.758,25-11-2022 11:40,25-11-2022 11:40
7660,02_Watchlist,0.795,25-11-2022 11:40,25-11-2022 11:40
7661,03_Logout,2.22,25-11-2022 11:41,25-11-2022 11:41
7662,01_Login,1.642,25-11-2022 11:45,25-11-2022 11:45
7663,02_Watchlist,0.702,25-11-2022 11:45,25-11-2022 11:45
7664,03_Logout,2.221,25-11-2022 11:46,25-11-2022 11:46
7665,01_Login,0.589,25-11-2022 11:50,25-11-2022 11:50
7666,02_Watchlist,0.719,25-11-2022 11:50,25-11-2022 11:50
7667,03_Logout,2.207,25-11-2022 11:51,25-11-2022 11:51
7668,01_Login,0.526,25-11-2022 11:55,25-11-2022 11:55
7669,02_Watchlist,0.727,25-11-2022 11:55,25-11-2022 11:55
7670,03_Logout,2.81,25-11-2022 11:56,25-11-2022 11:56
7671,01_Login,1.59,26-11-2022 12:00,26-11-2022 12:00
7672,02_Watchlist,0.712,26-11-2022 12:00,26-11-2022 12:00
7673,01_Login,11.985,26-11-2022 12:10,26-11-2022 12:10
7674,02_Watchlist,0.702,26-11-2022 12:10,26-11-2022 12:10
7675,01_Login,0.511,26-11-2022 12:15,26-11-2022 12:15
7676,02_Watchlist,0.907,26-11-2022 12:15,26-11-2022 12:15
7677,01_Login,1.328,26-11-2022 12:20,26-11-2022 12:20
7678,02_Watchlist,0.713,26-11-2022 12:20,26-11-2022 12:20
7679,01_Login,3.645,26-11-2022 12:25,26-11-2022 12:25
7680,02_Watchlist,0.721,26-11-2022 12:25,26-11-2022 12:25
7681,01_Login,1.04,26-11-2022 12:30,26-11-2022 12:30
7682,02_Watchlist,0.707,26-11-2022 12:30,26-11-2022 12:30
